Fid,Vehicle_Model,Battery_Capacity_kWh,Charging_Station_ID,Charging Station Location,Charging_Start_Time,Charging_EndTime,Energy_Consumed_kWh,Charging_Duration_hours,Charging_Rate_kW,Charging_Cost_USD,Vehicle_Age_years,Charger_Type,User_Type,Label
10.42.0.211-104.79.152.104-44338-443-6,Tesla Model 3,85,Station_429,New York,07-01-24 7:00,07-01-24 7:39,55.91756317,2.553216595,6.638807143,25.57187248,6,DC Fast Charger,Commuter,0
180.163.255.159-10.42.0.211-80-54069-6,Tesla Model 3,62,Station_344,San Francisco,07-01-24 8:00,07-01-24 11:37,76.59801205,3.320835389,31.59720483,19.34114104,3,DC Fast Charger,Casual Driver,1
10.42.0.211-66.198.178.50-36407-443-6,Tesla Model 3,100,Station_424,New York,07-01-24 9:00,07-01-24 11:39,20.25597516,1.351703592,3.023485282,31.88608393,0,Level 1,Casual Driver,0
10.42.0.211-66.198.24.253-44750-80-6,Chevy Bolt,50,Station_366,Houston,07-01-24 10:00,07-01-24 10:44,56.06879095,3.254362544,28.16853365,7.964297406,4,DC Fast Charger,Long-Distance Traveler,1
172.217.11.2-10.42.0.211-443-56835-6,Tesla Model 3,62,Station_120,Houston,07-01-24 11:00,07-01-24 11:32,65.04979561,3.436820245,22.55945181,20.79767963,3,DC Fast Charger,Casual Driver,0
172.217.7.227-10.42.0.151-443-49378-6,BMW i3,85,Station_97,San Francisco,07-01-24 12:00,07-01-24 13:12,127.7574744,2.719106374,9.95233839,11.75449371,3,Level 1,Casual Driver,0
10.42.0.42-52.84.1.250-39034-80-6,Hyundai Kona,50.87061708,Station_145,Houston,07-01-24 13:00,07-01-24 16:08,23.57128154,0.841961239,49.78371903,21.99640805,3,DC Fast Charger,Casual Driver,0
172.217.10.14-10.42.0.211-443-35147-6,Tesla Model 3,62,Station_216,Chicago,07-01-24 14:00,07-01-24 17:47,127.7574744,1.992542784,21.74018978,8.610343127,3,DC Fast Charger,Long-Distance Traveler,0
10.42.0.211-64.71.142.96-40901-80-6,Chevy Bolt,100,Station_229,Los Angeles,07-01-24 15:00,07-01-24 16:36,41.08911136,5.220359375,7.854182226,37.3705959,6.644424525,Level 2,Long-Distance Traveler,0
203.205.158.55-10.42.0.42-80-38273-6,Chevy Bolt,58.0121307,Station_313,Los Angeles,07-01-24 16:00,07-01-24 17:25,48.99847458,3.736481472,2.560943434,15.9295347,6,Level 2,Long-Distance Traveler,0
10.42.0.211-36.248.26.157-38560-80-6,Tesla Model 3,85,Station_130,New York,07-01-24 17:00,07-01-24 18:32,10.27760809,2.361618352,45.6866918,7.05367943,1.803488242,Level 2,Long-Distance Traveler,0
172.217.12.161-10.42.0.151-443-58170-6,Hyundai Kona,85,Station_352,Houston,07-01-24 18:00,07-01-24 21:52,45.57396766,3.265855666,11.089827,34.02915242,1,Level 2,Commuter,0
172.217.9.234-10.42.0.151-443-58243-6,Tesla Model 3,62,Station_377,New York,07-01-24 19:00,07-01-24 19:44,69.10554639,3.27519366,22.98621554,9.357435457,1,Level 2,Long-Distance Traveler,0
10.42.0.151-31.13.80.52-57082-443-6,Chevy Bolt,102.9494943,Station_318,Los Angeles,07-01-24 20:00,07-01-24 22:18,37.76450274,3.397770137,32.73315159,26.22041153,6,Level 2,Long-Distance Traveler,0
10.42.0.211-66.198.178.50-58365-443-6,Nissan Leaf,85,Station_472,Los Angeles,07-01-24 21:00,07-01-24 23:25,14.49568703,2.546129258,21.24491493,30.87446728,0.674947023,Level 2,Commuter,0
180.149.136.194-10.42.0.42-443-60671-6,BMW i3,75,Station_137,Houston,07-01-24 22:00,08-01-24 0:01,54.6408791,3.249662139,19.70948849,18.84386067,5,Level 1,Commuter,0
222.73.28.96-10.42.0.42-80-47459-6,Chevy Bolt,75,Station_324,Chicago,07-01-24 23:00,08-01-24 1:47,67.89119053,3.007291693,9.684686976,11.33027693,6,Level 2,Casual Driver,1
10.42.0.211-10.42.0.1-60304-53-17,Tesla Model 3,100,Station_337,Chicago,08-01-24 0:00,08-01-24 3:15,22.74259439,1.030563728,29.63598065,8.229053615,4,DC Fast Charger,Casual Driver,0
10.42.0.151-10.42.0.1-32003-53-17,BMW i3,85,Station_273,Houston,08-01-24 1:00,08-01-24 2:16,56.01783154,1.040974023,37.85307848,14.57709875,7,Level 1,Long-Distance Traveler,0
10.42.0.211-104.97.95.172-45824-80-6,Tesla Model 3,85,Station_117,Houston,08-01-24 2:00,08-01-24 3:26,127.7574744,0.984549221,9.2864977,20.34244787,1,Level 2,Casual Driver,0
10.42.0.211-104.192.108.27-54067-443-6,Tesla Model 3,100,Station_306,New York,08-01-24 3:00,08-01-24 4:19,13.87716709,0.521291588,9.913419024,26.91381758,5,Level 2,Commuter,1
172.217.9.238-10.42.0.211-443-47847-6,Nissan Leaf,75,Station_368,Houston,08-01-24 4:00,08-01-24 5:40,33.78434419,3.473821822,32.59959954,37.20674099,7,DC Fast Charger,Casual Driver,0
174.35.73.136-10.42.0.211-80-53619-6,BMW i3,100,Station_94,Chicago,08-01-24 5:00,08-01-24 7:52,47.82436785,2.046874381,6.082778487,35.98941825,2,Level 1,Casual Driver,1
10.42.0.42-23.194.180.131-56260-443-6,BMW i3,50,Station_168,Houston,08-01-24 6:00,08-01-24 8:55,71.14274636,1.725136155,14.82991098,37.01632786,5,DC Fast Charger,Long-Distance Traveler,0
