Fid,Vehicle_Model,Battery_Capacity_kWh,Charging_Station_ID,Charging Station Location,Charging_Start_Time,Charging_EndTime,Energy_Consumed_kWh,Charging_Duration_hours,Charging_Rate_kW,Charging_Cost_USD,Vehicle_Age_years,Charger_Type,User_Type,Label,Results
10.42.0.211-104.79.152.104-44338-443-6,Tesla Model 3,85.0,Station_429,New York,07-01-24 7:00,07-01-24 7:39,55.91756317,2.553216595,6.638807142999999,25.57187248,6.0,DC Fast Charger,Commuter,0,0
180.163.255.159-10.42.0.211-80-54069-6,Tesla Model 3,62.0,Station_344,San Francisco,07-01-24 8:00,07-01-24 11:37,76.59801205,3.320835389,31.59720483,19.34114104,3.0,DC Fast Charger,Casual Driver,1,1
10.42.0.211-66.198.178.50-36407-443-6,Tesla Model 3,100.0,Station_424,New York,07-01-24 9:00,07-01-24 11:39,20.25597516,1.3517035919999998,3.0234852819999998,31.88608393,0.0,Level 1,Casual Driver,0,0
10.42.0.211-66.198.24.253-44750-80-6,Chevy Bolt,50.0,Station_366,Houston,07-01-24 10:00,07-01-24 10:44,56.06879095,3.2543625439999997,28.16853365,7.964297406,4.0,DC Fast Charger,Long-Distance Traveler,1,1
172.217.11.2-10.42.0.211-443-56835-6,Tesla Model 3,62.0,Station_120,Houston,07-01-24 11:00,07-01-24 11:32,65.04979561,3.436820245,22.55945181,20.79767963,3.0,DC Fast Charger,Casual Driver,0,0
172.217.7.227-10.42.0.151-443-49378-6,BMW i3,85.0,Station_97,San Francisco,07-01-24 12:00,07-01-24 13:12,127.75747439999999,2.719106374,9.95233839,11.75449371,3.0,Level 1,Casual Driver,0,0
10.42.0.42-52.84.1.250-39034-80-6,Hyundai Kona,50.87061708,Station_145,Houston,07-01-24 13:00,07-01-24 16:08,23.57128154,0.8419612390000001,49.78371903,21.99640805,3.0,DC Fast Charger,Casual Driver,0,0
172.217.10.14-10.42.0.211-443-35147-6,Tesla Model 3,62.0,Station_216,Chicago,07-01-24 14:00,07-01-24 17:47,127.75747439999999,1.992542784,21.74018978,8.610343127,3.0,DC Fast Charger,Long-Distance Traveler,0,0
10.42.0.211-64.71.142.96-40901-80-6,Chevy Bolt,100.0,Station_229,Los Angeles,07-01-24 15:00,07-01-24 16:36,41.08911136,5.220359375,7.854182226,37.3705959,6.644424525,Level 2,Long-Distance Traveler,0,0
203.205.158.55-10.42.0.42-80-38273-6,Chevy Bolt,58.0121307,Station_313,Los Angeles,07-01-24 16:00,07-01-24 17:25,48.99847458,3.736481472,2.560943434,15.929534699999998,6.0,Level 2,Long-Distance Traveler,0,0
10.42.0.211-36.248.26.157-38560-80-6,Tesla Model 3,85.0,Station_130,New York,07-01-24 17:00,07-01-24 18:32,10.27760809,2.361618352,45.68669179999999,7.05367943,1.8034882419999998,Level 2,Long-Distance Traveler,0,0
172.217.12.161-10.42.0.151-443-58170-6,Hyundai Kona,85.0,Station_352,Houston,07-01-24 18:00,07-01-24 21:52,45.57396766,3.265855666,11.089827,34.02915242,1.0,Level 2,Commuter,0,0
172.217.9.234-10.42.0.151-443-58243-6,Tesla Model 3,62.0,Station_377,New York,07-01-24 19:00,07-01-24 19:44,69.10554639,3.27519366,22.98621554,9.357435457000001,1.0,Level 2,Long-Distance Traveler,0,0
10.42.0.151-31.13.80.52-57082-443-6,Chevy Bolt,102.9494943,Station_318,Los Angeles,07-01-24 20:00,07-01-24 22:18,37.76450274,3.3977701369999997,32.73315159,26.22041153,6.0,Level 2,Long-Distance Traveler,0,0
10.42.0.211-66.198.178.50-58365-443-6,Nissan Leaf,85.0,Station_472,Los Angeles,07-01-24 21:00,07-01-24 23:25,14.49568703,2.546129258,21.24491493,30.87446728,0.674947023,Level 2,Commuter,0,0
180.149.136.194-10.42.0.42-443-60671-6,BMW i3,75.0,Station_137,Houston,07-01-24 22:00,08-01-24 0:01,54.6408791,3.249662139,19.70948849,18.84386067,5.0,Level 1,Commuter,0,0
222.73.28.96-10.42.0.42-80-47459-6,Chevy Bolt,75.0,Station_324,Chicago,07-01-24 23:00,08-01-24 1:47,67.89119053,3.007291693,9.684686976,11.33027693,6.0,Level 2,Casual Driver,1,1
